encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
jxl,70,img077,1584059,1.800,2.850,0.770,1523984
jxl,90,img077,3340283,1.780,2.930,0.830,1554288
webp,60,img078,1389408,1.470,1.320,0.050,46720
webp,75,img078,1659076,1.360,1.320,0.060,47368
webp,90,img078,2949596,1.610,1.570,0.060,73612
avif,28,img078,352713,0.590,1.160,0.080,117284
avif,36,img078,523646,0.680,1.420,0.080,118568
avif,44,img078,749425,0.720,1.570,0.060,119716
jxl,30,img078,552548,0.390,0.590,0.160,297764
jxl,50,img078,761797,0.400,0.600,0.160,302124
jxl,70,img078,1098306,0.490,0.690,0.150,310528
jxl,90,img078,2069683,0.450,0.720,0.170,325800
webp,60,img079,1559832,1.360,1.310,0.040,45312
webp,75,img079,1849906,1.400,1.370,0.040,50860
webp,90,img079,3106322,1.570,1.530,0.070,77476
avif,28,img079,369915,0.510,1.010,0.060,108868
avif,36,img079,562677,0.670,1.290,0.090,110796
avif,44,img079,844314,0.700,1.440,0.070,111944
jxl,30,img079,567973,0.370,0.570,0.130,286740
jxl,50,img079,789074,0.400,0.620,0.170,291224
jxl,70,img079,1172422,0.420,0.650,0.160,300948
jxl,90,img079,2204601,0.490,0.780,0.200,316056
webp,60,img080,1350694,1.570,1.320,0.050,45184
webp,75,img080,1638496,1.380,1.340,0.050,46224
webp,90,img080,2869182,1.580,1.540,0.060,71572
avif,28,img080,336051,0.580,1.100,0.090,113592
avif,36,img080,502247,0.670,1.350,0.090,114740
avif,44,img080,725216,0.770,1.640,0.080,115380
jxl,30,img080,527929,0.400,0.590,0.160,287604
jxl,50,img080,729246,0.440,0.620,0.190,292212
jxl,70,img080,1065146,0.400,0.620,0.160,299892
jxl,90,img080,2028825,0.450,0.710,0.180,314868
webp,60,img081,536596,1.810,1.730,0.060,60160
webp,75,img081,638424,1.580,1.560,0.050,60160
webp,90,img081,1272456,1.740,1.720,0.060,60160
avif,28,img081,318126,0.600,1.330,0.060,168608
avif,36,img081,538085,0.810,1.790,0.120,171556
avif,44,img081,718826,0.790,1.840,0.100,182308
jxl,30,img081,283031,0.490,0.800,0.220,457340
jxl,50,img081,377759,0.530,0.840,0.230,460280
jxl,70,img081,553606,0.530,0.860,0.220,464508
jxl,90,img081,1096448,0.750,0.890,0.240,472952
webp,60,img082,771644,5.100,4.960,0.170,186880
webp,75,img082,939558,4.660,4.640,0.130,187008
webp,90,img082,2533660,4.890,4.890,0.120,187008
avif,28,img082,304888,1.310,2.270,0.240,470320
avif,36,img082,526740,1.410,2.670,0.250,480948
avif,44,img082,798223,1.470,2.850,0.260,520116
jxl,30,img082,451172,1.810,2.340,0.790,1501084
jxl,50,img082,629008,1.610,2.450,0.850,1504848
jxl,70,img082,875663,1.760,2.550,0.850,1510340
jxl,90,img082,2096881,1.490,2.500,0.770,1540764
webp,60,img083,2654308,76.040,74.750,0.880,720640
webp,75,img083,3128948,76.460,76.270,0.750,720640
webp,90,img083,7330720,77.890,77.560,0.880,720768
avif,28,img083,581873,5.810,11.450,1.020,1865544
avif,36,img083,709750,6.420,13.090,1.160,1945284
avif,44,img083,885998,6.680,14.450,1.180,2031816
jxl,30,img083,1606105,6.780,9.590,3.100,5820104
jxl,50,img083,1979984,7.640,10.200,3.090,5825320
jxl,70,img083,2554399,6.510,10.180,3.020,5834044
jxl,90,img083,6354483,6.840,11.110,3.230,5927552
webp,60,img084,451600,2.180,1.980,0.050,81408
webp,75,img084,565136,2.170,2.160,0.060,81408
webp,90,img084,1368534,2.550,2.550,0.070,81408
avif,28,img084,125699,0.890,1.660,0.150,213116
avif,36,img084,171710,0.930,1.710,0.230,218104
avif,44,img084,236971,0.890,1.820,0.150,225396
jxl,30,img084,303035,0.780,1.170,0.330,606876
jxl,50,img084,395187,0.810,1.220,0.320,608612
jxl,70,img084,551613,0.830,1.290,0.350,611580
jxl,90,img084,1321487,0.750,1.190,0.300,632960
webp,60,img085,2004850,14.520,14.030,0.260,210944
webp,75,img085,2809204,18.800,18.690,0.230,210816
webp,90,img085,5885026,21.830,21.500,0.460,210944
avif,28,img085,627098,2.290,4.880,0.410,550420
avif,36,img085,876057,3.040,6.700,0.570,568464
avif,44,img085,1208135,3.260,8.320,0.430,581264
jxl,30,img085,1247221,1.920,2.870,0.760,1543736
jxl,50,img085,1586875,1.950,3.020,0.780,1550284
jxl,70,img085,2194596,1.970,3.040,0.810,1562640
jxl,90,img085,4878873,2.110,3.350,0.830,1629204
webp,60,img086,800548,9.310,9.000,0.220,364928
webp,75,img086,998552,8.980,9.040,0.230,365184
webp,90,img086,3219042,34.100,33.940,0.390,365312
avif,28,img086,155098,2.130,2.930,0.460,864280
avif,36,img086,212668,2.250,3.390,0.470,925596
avif,44,img086,302447,2.340,3.670,0.500,1009436
jxl,30,img086,572552,2.740,4.220,1.230,2957116
jxl,50,img086,686766,2.780,4.510,1.310,2957504
jxl,70,img086,987911,2.510,3.700,1.080,2963500
jxl,90,img086,2900831,2.570,3.840,1.120,3007692
webp,60,img087,2709032,16.460,15.860,0.170,220288
webp,75,img087,3271706,15.980,15.930,0.170,220288
webp,90,img087,6646356,17.920,17.650,0.380,220416
avif,28,img087,763698,2.200,5.240,0.300,608464
avif,36,img087,1011213,2.570,6.710,0.290,612556
avif,44,img087,1332875,2.910,8.050,0.280,614604
jxl,30,img087,1460843,1.550,2.170,0.600,1585560
jxl,50,img087,1859113,1.560,2.170,0.620,1594084
jxl,70,img087,2544411,1.570,2.220,0.610,1606852
jxl,90,img087,5516201,1.670,2.460,0.630,1683228
webp,60,img088,895360,4.170,4.000,0.130,217472
webp,75,img088,1124738,4.080,4.110,0.100,217472
webp,90,img088,2535322,4.620,4.630,0.110,217472
avif,28,img088,248660,1.370,2.350,0.270,620784
avif,36,img088,388221,1.490,2.840,0.270,624236
avif,44,img088,697233,1.620,3.310,0.270,631276
jxl,30,img088,611748,1.420,2.130,0.650,1770312
jxl,50,img088,784989,1.470,2.230,0.680,1775432
jxl,70,img088,1133634,1.440,2.180,0.640,1783012
jxl,90,img088,2619871,1.480,2.300,0.640,1815840
webp,60,img089,993226,4.250,4.080,0.100,185600
webp,75,img089,1196866,4.160,4.130,0.130,185600
webp,90,img089,3118046,14.570,14.570,0.100,185600
avif,28,img089,254565,1.160,1.660,0.230,528944
avif,36,img089,354049,1.240,1.990,0.230,538668
avif,44,img089,483968,1.380,2.500,0.250,545196
jxl,30,img089,650164,1.340,1.910,0.540,1411808
jxl,50,img089,821530,1.340,1.890,0.550,1414892
jxl,70,img089,1128465,1.340,1.920,0.520,1420700
jxl,90,img089,2933839,1.440,2.110,0.590,1471956
webp,60,img090,2045376,3.830,3.450,0.110,153600
webp,75,img090,2646894,3.650,3.590,0.130,153728
webp,90,img090,5926968,4.350,4.260,0.160,153600
avif,28,img090,339433,1.040,1.880,0.180,378928
avif,36,img090,606999,1.150,2.290,0.180,389676
avif,44,img090,1091480,1.270,2.740,0.200,403120
jxl,30,img090,853406,1.040,1.470,0.410,1089596
jxl,50,img090,1274636,1.060,1.510,0.410,1103708
jxl,70,img090,2089160,1.100,1.610,0.420,1131796
jxl,90,img090,4990544,1.170,1.790,0.430,1193716
webp,60,img091,4299992,35.280,34.410,0.430,491264
webp,75,img091,5436714,36.570,36.290,0.530,491264
webp,90,img091,13208862,43.820,43.210,0.860,491392
avif,28,img091,986608,4.950,9.870,0.830,1237740
avif,36,img091,1439080,5.000,10.630,0.720,1287260
avif,44,img091,2061782,5.390,12.520,0.750,1313120
jxl,30,img091,2316657,4.240,6.590,1.700,3628864
jxl,50,img091,2972572,4.240,6.480,1.670,3643388
jxl,70,img091,4321036,4.340,6.790,1.750,3673456
jxl,90,img091,10856745,4.540,7.250,1.860,3847924
webp,60,img092,191994,0.830,0.780,0.010,33664
webp,75,img092,244524,0.740,0.730,0.020,33536
webp,90,img092,568068,0.850,0.850,0.020,33536
avif,28,img092,44946,0.280,0.400,0.060,87680
avif,36,img092,68859,0.290,0.460,0.050,91136
avif,44,img092,107209,0.340,0.590,0.050,95876
jxl,30,img092,109320,0.250,0.370,0.130,239720
jxl,50,img092,154893,0.280,0.400,0.130,241008
jxl,70,img092,229019,0.250,0.380,0.110,243056
jxl,90,img092,514093,0.260,0.410,0.110,248812
webp,60,img093,574880,2.140,2.080,0.060,87936
webp,75,img093,751572,2.250,2.250,0.050,87936
webp,90,img093,1872868,2.540,2.530,0.070,87936
avif,28,img093,126719,0.800,1.380,0.170,238516
avif,36,img093,177691,0.850,1.630,0.140,244144
avif,44,img093,262165,0.930,1.930,0.160,248752
jxl,30,img093,342916,0.740,1.110,0.340,647304
jxl,50,img093,456715,0.760,1.150,0.320,649712
jxl,70,img093,679525,0.740,1.150,0.330,655968
jxl,90,img093,1758279,0.780,1.270,0.350,685232
webp,60,img094,3325012,4.540,4.240,0.120,150272
webp,75,img094,4023516,4.310,4.260,0.130,150272
webp,90,img094,7241388,8.190,7.990,0.280,181948
avif,28,img094,1040335,2.350,6.680,0.260,368328
avif,36,img094,1585590,2.620,7.840,0.240,375108
avif,44,img094,2377155,2.830,8.550,0.260,385372
jxl,30,img094,1654852,1.300,1.960,0.560,1062168
jxl,50,img094,2247366,1.370,2.150,0.620,1078132
jxl,70,img094,3299465,1.380,2.210,0.610,1109624
jxl,90,img094,6167408,1.520,2.470,0.570,1153656
webp,60,img095,2960778,84.870,83.850,0.830,800256
webp,75,img095,3725404,72.410,72.260,0.710,800512
webp,90,img095,10588002,85.430,84.970,0.930,800384
avif,28,img095,493525,4.460,5.390,0.840,1821040
avif,36,img095,778331,4.350,5.880,0.850,1926000
avif,44,img095,1208307,4.610,6.710,0.900,2093044
jxl,30,img095,1627277,10.820,8.410,2.540,6338732
jxl,50,img095,2154079,6.580,8.160,2.370,6351040
jxl,70,img095,3259519,5.550,8.140,2.410,6371924
jxl,90,img095,8983799,5.790,8.560,2.470,6529832
webp,60,img096,290392,0.910,0.770,0.020,40064
webp,75,img096,367760,0.800,0.800,0.020,40064
webp,90,img096,844274,0.930,0.920,0.020,40064
avif,28,img096,132336,0.710,0.580,0.060,115656
avif,36,img096,227666,0.400,0.670,0.050,119244
avif,44,img096,343529,0.450,0.730,0.060,123340
jxl,30,img096,194003,0.300,0.380,0.100,284308
jxl,50,img096,256197,0.260,0.370,0.110,286096
jxl,70,img096,363651,0.260,0.390,0.100,288792
jxl,90,img096,783562,0.300,0.420,0.110,297616
webp,60,img097,2435764,3.580,3.210,0.090,137728
webp,75,img097,3028930,3.410,3.360,0.110,137984
webp,90,img097,6140710,3.940,3.870,0.130,151460
avif,28,img097,488897,0.940,1.680,0.160,344672
avif,36,img097,853498,1.030,2.030,0.160,353760
avif,44,img097,1386561,1.190,2.470,0.180,362848
jxl,30,img097,1026781,1.010,1.320,0.350,959168
jxl,50,img097,1499106,0.940,1.360,0.370,973276
jxl,70,img097,2272173,0.980,1.440,0.350,996272
jxl,90,img097,4850767,1.040,1.580,0.400,1041888
webp,60,img098,1088736,5.650,5.310,0.170,252800
webp,75,img098,1435894,5.480,5.450,0.170,252800
webp,90,img098,4311496,20.270,20.080,0.320,252928
avif,28,img098,182353,1.340,1.690,0.260,612396
avif,36,img098,305260,1.390,1.830,0.280,638380
avif,44,img098,503773,1.460,2.080,0.290,673448
jxl,30,img098,636042,1.710,2.480,0.720,1959960
jxl,50,img098,837063,1.730,2.470,0.750,1966160
jxl,70,img098,1292153,1.750,2.580,0.700,1978560
jxl,90,img098,3742701,1.810,2.690,0.770,2044304
webp,60,img099,620562,1.090,1.010,0.020,47744
webp,75,img099,774684,1.070,1.060,0.030,47744
webp,90,img099,1686750,1.240,1.220,0.040,47744
avif,28,img099,118623,0.390,0.640,0.070,128812
avif,36,img099,200323,0.440,0.780,0.050,130348
avif,44,img099,324965,0.510,0.890,0.060,131120
jxl,30,img099,288327,0.320,0.490,0.100,321588
jxl,50,img099,411694,0.320,0.450,0.120,325548
jxl,70,img099,623670,0.330,0.490,0.100,331316
jxl,90,img099,1388801,0.360,0.560,0.120,348340
webp,60,img100,82500,1.320,1.310,0.030,66688
webp,75,img100,146668,1.320,1.320,0.030,66688
webp,90,img100,1144078,1.680,1.680,0.030,66688
avif,28,img100,9838,0.310,0.350,0.070,162832
avif,36,img100,11726,0.310,0.350,0.070,165776
avif,44,img100,15211,0.330,0.370,0.070,172940
jxl,30,img100,47303,0.430,0.620,0.190,505652
jxl,50,img100,53946,0.450,0.620,0.190,505480
jxl,70,img100,81374,0.430,0.630,0.180,506544
jxl,90,img100,789236,0.480,0.720,0.200,542240
webp,60,img001,2086274,4.110,3.870,0.080,173184
webp,75,img001,2579334,4.010,4.000,0.090,173184
webp,90,img001,5562694,4.700,4.640,0.150,173312
avif,28,img001,1005561,1.690,3.410,0.280,509980
avif,36,img001,2217606,2.470,5.320,0.280,519708
avif,44,img001,3402161,2.260,5.700,0.250,528284
jxl,30,img001,1159950,1.220,1.820,0.520,1288996
jxl,50,img001,1562600,1.160,1.720,0.480,1299032
jxl,70,img001,2248498,1.210,1.780,0.510,1316404
jxl,90,img001,4829777,1.490,2.110,0.590,1375648
webp,60,img002,3089212,6.320,5.730,0.150,247936
webp,75,img002,4133390,18.850,18.620,0.260,247808
webp,90,img002,8861132,20.890,20.510,0.490,247808
avif,28,img002,708259,1.810,3.290,0.280,635468
avif,36,img002,1084003,1.860,3.620,0.290,647888
avif,44,img002,1619361,2.030,4.270,0.310,661836
jxl,30,img002,1533003,1.670,2.370,0.690,1802192
jxl,50,img002,2099290,1.830,2.770,0.740,1816252
jxl,70,img002,3136735,1.730,2.520,0.700,1848692
jxl,90,img002,7099492,1.860,2.840,0.680,1937452
webp,60,img003,1768182,4.660,4.430,0.070,201088
webp,75,img003,2230010,4.530,4.550,0.090,201088
webp,90,img003,5299766,16.420,16.290,0.230,201088
avif,28,img003,334684,1.290,2.080,0.260,583760
avif,36,img003,754750,1.480,2.750,0.250,596052
avif,44,img003,1831575,1.690,3.520,0.280,612308
jxl,30,img003,859953,1.570,2.440,0.690,1526032
jxl,50,img003,1255867,1.390,2.040,0.590,1539392
jxl,70,img003,2166352,1.590,2.530,0.700,1568040
jxl,90,img003,3740588,1.840,2.880,0.820,1585532
webp,60,img004,1230892,2.210,2.060,0.080,71936
webp,75,img004,1581110,2.190,2.180,0.060,71936
webp,90,img004,3308888,2.390,2.330,0.090,83392
avif,28,img004,244486,0.520,0.880,0.110,180612
avif,36,img004,437311,0.570,1.080,0.090,185472
avif,44,img004,731742,0.630,1.200,0.110,190212
jxl,30,img004,407976,0.480,0.750,0.230,492596
jxl,50,img004,601640,0.550,0.860,0.240,498844
jxl,70,img004,1053125,0.590,0.970,0.250,514964
jxl,90,img004,2485061,0.590,0.980,0.270,545564
webp,60,img005,1332342,2.860,2.700,0.080,102528
webp,75,img005,1702700,2.830,2.840,0.050,102656
webp,90,img005,3769158,3.230,3.170,0.110,102528
avif,28,img005,279329,0.880,1.490,0.150,265420
avif,36,img005,445522,1.120,2.130,0.150,269764
avif,44,img005,685465,1.380,3.090,0.220,275020
jxl,30,img005,605707,0.990,1.470,0.420,726656
jxl,50,img005,843939,1.000,1.530,0.450,732996
jxl,70,img005,1278187,1.100,1.700,0.420,746124
jxl,90,img005,3005212,1.140,1.810,0.430,785688
webp,60,img006,1492542,4.520,4.150,0.180,128128
webp,75,img006,1809674,3.460,3.450,0.090,128256
webp,90,img006,3783042,4.210,4.170,0.120,128256
avif,28,img006,418151,1.230,2.440,0.220,352092
avif,36,img006,618217,1.360,2.880,0.200,356060
avif,44,img006,881632,1.720,4.370,0.220,359516
jxl,30,img006,866468,1.270,1.940,0.500,941696
jxl,50,img006,1157409,1.190,1.830,0.520,948268
jxl,70,img006,1617989,1.120,1.730,0.450,959340
jxl,90,img006,3354568,1.190,1.920,0.510,995660
webp,60,img007,3020216,3.020,2.650,0.100,88704
webp,75,img007,3626100,2.660,2.610,0.090,93960
webp,90,img007,5999378,3.210,3.100,0.140,143368
avif,28,img007,960591,1.500,3.880,0.160,221360
avif,36,img007,1430827,1.650,4.570,0.130,223152
avif,44,img007,2079583,1.920,5.290,0.170,225452
jxl,30,img007,1313590,0.740,1.170,0.290,585644
jxl,50,img007,1796945,0.730,1.130,0.300,597884
jxl,70,img007,2642307,0.850,1.320,0.330,620360
jxl,90,img007,4971733,0.950,1.550,0.370,653760
webp,60,img008,475108,1.760,1.670,0.060,69632
webp,75,img008,685348,1.800,1.800,0.030,69760
webp,90,img008,1837706,2.020,1.990,0.070,69760
avif,28,img008,66548,0.520,0.730,0.110,184936
avif,36,img008,95814,0.540,0.780,0.090,187624
avif,44,img008,146502,0.570,0.940,0.100,190956
jxl,30,img008,192855,0.510,0.780,0.220,501240
jxl,50,img008,270803,0.600,0.910,0.250,503960
jxl,70,img008,462444,0.580,0.900,0.250,511584
jxl,90,img008,1460863,0.600,1.000,0.280,540620
webp,60,img009,1468308,3.470,3.280,0.120,128128
webp,75,img009,1785310,3.320,3.310,0.090,128000
webp,90,img009,3639506,3.770,3.740,0.100,128128
avif,28,img009,388796,1.160,2.340,0.210,345364
avif,36,img009,579500,1.350,3.070,0.200,350228
avif,44,img009,846012,1.590,3.790,0.200,356372
jxl,30,img009,795624,1.040,1.740,0.430,945428
jxl,50,img009,1090254,1.030,1.650,0.460,953444
jxl,70,img009,1547154,1.130,1.730,0.490,964944
jxl,90,img009,3094524,1.120,1.790,0.490,994676
webp,60,img010,179546,2.130,2.140,0.040,92288
webp,75,img010,221842,2.050,2.050,0.060,92288
webp,90,img010,789138,2.370,2.360,0.070,92416
avif,28,img010,37897,0.520,0.690,0.120,242244
avif,36,img010,52334,0.590,0.810,0.140,248512
avif,44,img010,72953,0.640,0.890,0.150,260800
jxl,30,img010,139565,0.670,1.060,0.340,731908
jxl,50,img010,169866,0.730,1.160,0.340,732744
jxl,70,img010,234209,0.750,1.210,0.340,733072
jxl,90,img010,873209,0.840,1.390,0.370,756700
