encoder,quality,img_id,bytes,bpp,wall_s,wall_per_mpx,max_rss_kb
webp,60,img011,814438,0.4801,1.980,0.146,78848
webp,75,img011,1023122,0.6031,2.010,0.148,78976
webp,90,img011,2198030,1.2956,2.330,0.172,78976
avif,28,img011,192610,0.1135,0.620,0.046,214164
avif,36,img011,290091,0.1710,0.930,0.069,218568
avif,44,img011,434383,0.2560,0.730,0.054,224152
jxl,30,img011,439746,0.2592,0.600,0.044,582840
jxl,50,img011,600296,0.3538,0.580,0.043,587068
jxl,70,img011,879468,0.5184,0.650,0.048,595744
jxl,90,img011,1903628,1.1221,0.590,0.043,615736
webp,60,img012,658800,0.3017,2.270,0.130,98944
webp,75,img012,883822,0.4048,2.220,0.127,99072
webp,90,img012,2161666,0.9900,2.650,0.152,99072
avif,28,img012,120072,0.0550,0.590,0.034,275436
avif,36,img012,188630,0.0864,0.620,0.035,279784
avif,44,img012,299395,0.1371,0.670,0.038,284268
jxl,30,img012,364073,0.1667,0.720,0.041,739356
jxl,50,img012,500452,0.2292,0.720,0.041,743212
jxl,70,img012,912880,0.4181,0.730,0.042,759524
jxl,90,img012,1615863,0.7400,0.860,0.049,769272
webp,60,img013,1820136,0.8358,2.920,0.168,107776
webp,75,img013,2201344,1.0109,3.000,0.172,107776
webp,90,img013,4652360,2.1364,3.150,0.181,118260
avif,28,img013,485853,0.2231,1.070,0.061,276396
avif,36,img013,706849,0.3246,1.430,0.082,279980
avif,44,img013,1034793,0.4752,1.460,0.084,284072
jxl,30,img013,938421,0.4309,0.870,0.050,760680
jxl,50,img013,1268574,0.5825,0.960,0.055,769048
jxl,70,img013,1856348,0.8524,0.980,0.056,787144
jxl,90,img013,3902301,1.7919,0.930,0.053,829120
webp,60,img014,2814158,1.8435,2.300,0.188,82688
webp,75,img014,3300780,2.1623,2.280,0.187,89368
webp,90,img014,5358120,3.5100,2.620,0.215,129692
avif,28,img014,1003320,0.6573,0.870,0.071,206024
avif,36,img014,1500533,0.9830,1.060,0.087,209736
avif,44,img014,2094128,1.3718,1.370,0.112,212424
jxl,30,img014,1195216,0.7830,0.650,0.053,564012
jxl,50,img014,1644560,1.0773,0.700,0.057,573828
jxl,70,img014,2373546,1.5549,0.620,0.051,589488
jxl,90,img014,4299767,2.8167,0.660,0.054,618564
webp,60,img015,1014834,0.3901,2.840,0.136,118656
webp,75,img015,1410406,0.5421,2.860,0.137,118528
webp,90,img015,3407100,1.3096,3.210,0.154,118528
avif,28,img015,71177,0.0274,0.710,0.034,292116
avif,36,img015,147798,0.0568,0.740,0.036,298892
avif,44,img015,362796,0.1394,0.770,0.037,308112
jxl,30,img015,313431,0.1205,0.850,0.041,878996
jxl,50,img015,529208,0.2034,0.870,0.042,888076
jxl,70,img015,997104,0.3832,0.860,0.041,906356
jxl,90,img015,2731139,1.0497,0.970,0.047,945276
webp,60,img016,723280,0.3473,2.060,0.124,95232
webp,75,img016,919110,0.4413,2.070,0.124,95488
webp,90,img016,2179498,1.0466,2.510,0.151,95360
avif,28,img016,151047,0.0725,0.550,0.033,252612
avif,36,img016,259022,0.1244,0.620,0.037,259008
avif,44,img016,417794,0.2006,0.770,0.046,266696
jxl,30,img016,410899,0.1973,0.650,0.039,710536
jxl,50,img016,576737,0.2769,0.630,0.038,715480
jxl,70,img016,850363,0.4083,0.650,0.039,722080
jxl,90,img016,2007938,0.9642,0.680,0.041,748964
webp,60,img017,685038,0.2848,2.280,0.118,105984
webp,75,img017,896700,0.3727,2.240,0.116,105984
webp,90,img017,2196736,0.9131,2.620,0.136,105984
avif,28,img017,213833,0.0889,0.620,0.032,310804
avif,36,img017,367782,0.1529,0.670,0.035,316172
avif,44,img017,572829,0.2381,0.740,0.038,326548
jxl,30,img017,327544,0.1362,0.680,0.035,809908
jxl,50,img017,462558,0.1923,0.680,0.035,814352
jxl,70,img017,730920,0.3038,0.700,0.036,822568
jxl,90,img017,1920941,0.7985,0.740,0.038,853020
webp,60,img018,2284548,0.7670,3.610,0.152,147072
webp,75,img018,2907664,0.9762,3.530,0.148,147072
webp,90,img018,6090846,2.0449,7.050,0.296,158172
avif,28,img018,494008,0.1659,0.980,0.041,375136
avif,36,img018,774225,0.2599,1.140,0.048,381140
avif,44,img018,1214783,0.4078,1.310,0.055,387936
jxl,30,img018,991380,0.3328,1.210,0.051,1032928
jxl,50,img018,1392534,0.4675,1.030,0.043,1044476
jxl,70,img018,2139011,0.7181,1.220,0.051,1068784
jxl,90,img018,4842958,1.6260,1.280,0.054,1126400
webp,60,img019,3652498,1.6310,3.480,0.194,116608
webp,75,img019,4301580,1.9208,3.330,0.186,116608
webp,90,img019,7114812,3.1770,3.520,0.196,172364
avif,28,img019,893044,0.3988,0.660,0.037,263164
avif,36,img019,1631171,0.7284,0.740,0.041,273660
avif,44,img019,2495285,1.1142,0.840,0.047,287744
jxl,30,img019,1247662,0.5571,0.710,0.040,816668
jxl,50,img019,1909047,0.8524,0.720,0.040,834708
jxl,70,img019,2995608,1.3376,0.860,0.048,857924
jxl,90,img019,5652470,2.5240,0.840,0.047,892720
webp,60,img020,9485480,1.8085,22.870,0.545,273152
webp,75,img020,11065914,2.1098,22.480,0.536,295436
webp,90,img020,17706344,3.3758,23.760,0.566,432572
avif,28,img020,2778651,0.5298,2.640,0.063,670532
avif,36,img020,4340653,0.8276,3.340,0.080,681668
avif,44,img020,5976573,1.1395,3.740,0.089,690884
jxl,30,img020,3873604,0.7385,1.910,0.046,1899520
jxl,50,img020,6002506,1.1444,1.980,0.047,1957504
jxl,70,img020,7751802,1.4779,2.050,0.049,1984060
jxl,90,img020,11113204,2.1188,2.120,0.051,2020376
webp,60,img021,470214,0.2861,1.710,0.130,77184
webp,75,img021,607598,0.3697,1.680,0.128,77312
webp,90,img021,1765502,1.0742,1.960,0.149,77312
avif,28,img021,113422,0.0690,0.520,0.040,189600
avif,36,img021,168620,0.1026,0.570,0.043,193832
avif,44,img021,246971,0.1503,0.610,0.046,202400
jxl,30,img021,286761,0.1745,0.540,0.041,561792
jxl,50,img021,377771,0.2299,0.580,0.044,564372
jxl,70,img021,554531,0.3374,0.550,0.042,568692
jxl,90,img021,1565641,0.9526,0.590,0.045,599496
webp,60,img022,92042,0.0746,0.970,0.098,51584
webp,75,img022,120344,0.0976,0.950,0.096,51712
webp,90,img022,385302,0.3123,1.110,0.112,51584
avif,28,img022,15229,0.0123,0.260,0.026,166092
avif,36,img022,21538,0.0175,0.250,0.025,170572
avif,44,img022,34431,0.0279,0.270,0.027,175948
jxl,30,img022,57059,0.0463,0.330,0.033,416440
jxl,50,img022,73968,0.0600,0.340,0.034,416956
jxl,70,img022,114596,0.0929,0.350,0.035,417728
jxl,90,img022,353310,0.2864,0.350,0.035,424120
webp,60,img023,1046326,0.6133,2.150,0.158,80384
webp,75,img023,1430760,0.8386,2.090,0.153,80384
webp,90,img023,3123358,1.8307,2.420,0.177,88792
avif,28,img023,54945,0.0322,0.410,0.030,196348
avif,36,img023,94777,0.0556,0.430,0.032,204928
avif,44,img023,286480,0.1679,0.490,0.036,215940
jxl,30,img023,173800,0.1019,0.460,0.034,582312
jxl,50,img023,294217,0.1724,0.470,0.034,588480
jxl,70,img023,697429,0.4088,0.500,0.037,609220
jxl,90,img023,2184115,1.2802,0.590,0.043,646748
webp,60,img024,457810,0.2061,2.330,0.131,100480
webp,75,img024,577484,0.2599,2.140,0.120,100608
webp,90,img024,1735260,0.7810,2.510,0.141,100608
avif,28,img024,97949,0.0441,0.700,0.039,278184
avif,36,img024,142295,0.0640,0.650,0.037,282024
avif,44,img024,203705,0.0917,0.690,0.039,285100
jxl,30,img024,293702,0.1322,0.720,0.041,750868
jxl,50,img024,385060,0.1733,0.700,0.039,752116
jxl,70,img024,555228,0.2499,0.700,0.039,755940
jxl,90,img024,1667126,0.7503,0.740,0.042,789220
webp,60,img025,1192956,0.4315,2.800,0.127,123264
webp,75,img025,1424558,0.5152,2.680,0.121,123136
webp,90,img025,2825396,1.0219,3.020,0.137,123136
avif,28,img025,624569,0.2259,1.030,0.047,371344
avif,36,img025,1005893,0.3638,1.220,0.055,376856
avif,44,img025,1434709,0.5189,1.470,0.066,385428
jxl,30,img025,707142,0.2558,0.930,0.042,938772
jxl,50,img025,933716,0.3377,0.860,0.039,943460
jxl,70,img025,1307484,0.4729,0.960,0.043,952224
jxl,90,img025,2579823,0.9331,0.960,0.043,975376
webp,60,img026,1030060,0.3919,2.790,0.133,118400
webp,75,img026,1291394,0.4913,2.700,0.128,118528
webp,90,img026,2626880,0.9995,2.980,0.142,118528
avif,28,img026,239437,0.0911,0.830,0.039,290120
avif,36,img026,350383,0.1333,0.920,0.044,301000
avif,44,img026,548036,0.2085,0.970,0.046,314948
jxl,30,img026,584735,0.2225,0.790,0.038,893172
jxl,50,img026,932956,0.3550,0.810,0.039,906356
jxl,70,img026,1241714,0.4724,0.820,0.039,911172
jxl,90,img026,1811295,0.6892,0.820,0.039,917288
webp,60,img027,345654,0.2061,1.550,0.116,76800
webp,75,img027,488320,0.2911,1.590,0.118,76800
webp,90,img027,1492514,0.8898,1.870,0.139,76928
avif,28,img027,29450,0.0176,0.390,0.029,181292
avif,36,img027,47423,0.0283,0.390,0.029,187952
avif,44,img027,91766,0.0547,0.410,0.031,198320
jxl,30,img027,130818,0.0780,0.520,0.039,567968
jxl,50,img027,194877,0.1162,0.590,0.044,570040
jxl,70,img027,363708,0.2168,0.530,0.039,577136
jxl,90,img027,1218069,0.7262,0.580,0.043,602320
webp,60,img028,444750,0.1482,2.840,0.118,129280
webp,75,img028,687238,0.2291,2.760,0.115,129408
webp,90,img028,2306098,0.7687,3.340,0.139,129408
avif,28,img028,50303,0.0168,0.660,0.028,330696
avif,36,img028,74266,0.0248,0.690,0.029,337860
avif,44,img028,116424,0.0388,0.760,0.032,351432
jxl,30,img028,206139,0.0687,0.900,0.037,1004748
jxl,50,img028,293480,0.0978,0.910,0.038,1006808
jxl,70,img028,542066,0.1807,0.880,0.037,1016264
jxl,90,img028,2025583,0.6752,0.930,0.039,1060648
webp,60,img029,426136,0.2525,1.600,0.119,78976
webp,75,img029,580172,0.3438,1.630,0.121,78848
webp,90,img029,1632834,0.9676,2.090,0.155,78720
avif,28,img029,74651,0.0442,0.460,0.034,206608
avif,36,img029,116359,0.0690,0.490,0.036,211868
avif,44,img029,182378,0.1081,0.520,0.039,217496
jxl,30,img029,221106,0.1310,0.550,0.041,574148
jxl,50,img029,305075,0.1808,0.520,0.039,576596
jxl,70,img029,478666,0.2837,0.540,0.040,581888
jxl,90,img029,1379717,0.8176,0.630,0.047,608680
webp,60,img030,992996,0.7662,1.420,0.137,60416
webp,75,img030,1183958,0.9135,1.400,0.135,60672
webp,90,img030,2165654,1.6710,1.590,0.153,62596
avif,28,img030,699194,0.5395,0.750,0.072,174380
avif,36,img030,941950,0.7268,0.710,0.068,175276
avif,44,img030,1175435,0.9069,0.760,0.073,177960
jxl,30,img030,498199,0.3844,0.420,0.041,454320
jxl,50,img030,678487,0.5235,0.440,0.042,459184
jxl,70,img030,987283,0.7618,0.440,0.042,466604
jxl,90,img030,1819212,1.4037,0.460,0.044,480048
webp,60,img031,693472,0.1315,4.180,0.099,209792
webp,75,img031,834644,0.1583,4.160,0.099,209920
webp,90,img031,1892260,0.3589,4.600,0.109,209920
avif,28,img031,165874,0.0315,1.170,0.028,603088
avif,36,img031,281949,0.0535,1.250,0.030,611276
avif,44,img031,501594,0.0951,1.400,0.033,626128
jxl,30,img031,439842,0.0834,1.390,0.033,1740384
jxl,50,img031,566596,0.1075,1.430,0.034,1743004
jxl,70,img031,779540,0.1479,1.410,0.033,1747872
jxl,90,img031,1815047,0.3443,1.400,0.033,1771436
webp,60,img032,172634,0.0771,1.840,0.103,93824
webp,75,img032,210660,0.0941,1.940,0.108,93824
webp,90,img032,630380,0.2815,2.430,0.136,93696
avif,28,img032,35599,0.0159,0.560,0.031,282748
avif,36,img032,49152,0.0219,0.570,0.032,288512
avif,44,img032,68566,0.0306,0.570,0.032,297728
jxl,30,img032,137891,0.0616,0.640,0.036,746916
jxl,50,img032,172228,0.0769,0.720,0.040,747416
jxl,70,img032,234609,0.1048,0.830,0.046,748392
jxl,90,img032,740028,0.3304,0.840,0.047,762660
webp,60,img033,492334,0.1517,3.160,0.122,140800
webp,75,img033,778976,0.2401,3.370,0.130,140928
webp,90,img033,2998334,0.9240,4.010,0.154,140928
avif,28,img033,57976,0.0179,0.780,0.030,348668
avif,36,img033,82458,0.0254,0.960,0.037,357760
avif,44,img033,121024,0.0373,1.010,0.039,373248
jxl,30,img033,209272,0.0645,1.420,0.055,1086940
jxl,50,img033,286816,0.0884,1.260,0.049,1088392
jxl,70,img033,538126,0.1658,1.270,0.049,1099312
jxl,90,img033,2389275,0.7363,1.290,0.050,1160620
webp,60,img034,2138394,0.8619,3.560,0.179,126080
webp,75,img034,2889004,1.1644,3.340,0.168,126208
webp,90,img034,6070486,2.4467,3.880,0.195,153032
avif,28,img034,53141,0.0214,0.700,0.035,284420
avif,36,img034,147645,0.0595,1.220,0.061,300972
avif,44,img034,707621,0.2852,0.950,0.048,312156
jxl,30,img034,408763,0.1647,0.850,0.043,855664
jxl,50,img034,759896,0.3063,1.330,0.067,874800
jxl,70,img034,1630561,0.6572,1.560,0.079,915296
jxl,90,img034,4410560,1.7777,1.660,0.084,971524
webp,60,img035,333678,0.2654,1.370,0.136,56064
webp,75,img035,406786,0.3235,1.280,0.127,56320
webp,90,img035,877068,0.6975,1.530,0.152,56320
avif,28,img035,107665,0.0856,0.510,0.051,167260
avif,36,img035,196977,0.1566,0.680,0.068,171188
avif,44,img035,312076,0.2482,0.650,0.065,176348
jxl,30,img035,179261,0.1426,0.550,0.055,431696
jxl,50,img035,242614,0.1929,0.500,0.050,432896
jxl,70,img035,362058,0.2879,0.430,0.043,435784
jxl,90,img035,796715,0.6336,0.500,0.050,444496
webp,60,img036,139706,0.1052,1.370,0.129,57216
webp,75,img036,177908,0.1339,1.410,0.133,57344
webp,90,img036,480302,0.3616,1.380,0.130,57344
avif,28,img036,34863,0.0262,0.340,0.032,174496
avif,36,img036,56611,0.0426,0.360,0.034,177952
avif,44,img036,96987,0.0730,0.380,0.036,183204
jxl,30,img036,91980,0.0692,0.380,0.036,450300
jxl,50,img036,119147,0.0897,0.380,0.036,450676
jxl,70,img036,175138,0.1318,0.400,0.038,451576
jxl,90,img036,519430,0.3910,0.410,0.039,462332
webp,60,img037,143564,0.0962,1.470,0.123,66304
webp,75,img037,183432,0.1229,1.320,0.111,66432
webp,90,img037,695842,0.4661,1.680,0.141,66304
avif,28,img037,25302,0.0169,0.360,0.030,165440
avif,36,img037,37220,0.0249,0.350,0.029,170428
avif,44,img037,54746,0.0367,0.380,0.032,175036
jxl,30,img037,98433,0.0659,0.520,0.044,504132
jxl,50,img037,130737,0.0876,0.490,0.041,504680
jxl,70,img037,190015,0.1273,0.490,0.041,505840
jxl,90,img037,747475,0.5007,0.510,0.043,526448
webp,60,img038,216950,0.0873,2.030,0.102,99968
webp,75,img038,270560,0.1089,1.950,0.098,99968
webp,90,img038,655686,0.2640,2.160,0.109,99968
avif,28,img038,43769,0.0176,0.550,0.028,304168
avif,36,img038,61863,0.0249,0.620,0.031,312612
avif,44,img038,91552,0.0369,0.610,0.031,322848
jxl,30,img038,142914,0.0575,0.690,0.035,824300
jxl,50,img038,181276,0.0730,0.680,0.034,824940
jxl,70,img038,263020,0.1059,0.690,0.035,826116
jxl,90,img038,671188,0.2702,0.700,0.035,835396
webp,60,img039,210838,0.1357,1.360,0.109,67584
webp,75,img039,261848,0.1685,1.340,0.108,67712
webp,90,img039,665308,0.4281,1.510,0.121,67584
avif,28,img039,44734,0.0288,0.380,0.031,211076
avif,36,img039,66347,0.0427,0.400,0.032,215172
avif,44,img039,98340,0.0633,0.430,0.035,221444
jxl,30,img039,142422,0.0916,0.470,0.038,522892
jxl,50,img039,189368,0.1219,0.470,0.038,524192
jxl,70,img039,271609,0.1748,0.470,0.038,525384
jxl,90,img039,714630,0.4598,0.500,0.040,537604
webp,60,img040,1371020,1.3492,1.510,0.186,51840
webp,75,img040,1692188,1.6653,1.380,0.170,53420
webp,90,img040,2990340,2.9427,1.540,0.189,81456
avif,28,img040,26790,0.0264,0.260,0.032,120276
avif,36,img040,142638,0.1404,0.350,0.043,132436
avif,44,img040,650049,0.6397,0.410,0.050,135896
jxl,30,img040,159427,0.1569,0.350,0.043,360124
jxl,50,img040,385263,0.3791,0.360,0.044,375740
jxl,70,img040,903736,0.8894,0.410,0.050,397496
jxl,90,img040,2156663,2.1223,0.500,0.062,413756
webp,60,img041,325866,0.1365,2.370,0.124,104448
webp,75,img041,446152,0.1868,2.150,0.113,104448
webp,90,img041,1717702,0.7193,2.620,0.137,104448
avif,28,img041,56935,0.0238,0.550,0.029,268472
avif,36,img041,91106,0.0382,0.560,0.029,274620
avif,44,img041,142735,0.0598,0.590,0.031,284856
jxl,30,img041,190646,0.0798,0.730,0.038,805484
jxl,50,img041,253171,0.1060,0.730,0.038,807444
jxl,70,img041,397472,0.1665,0.750,0.039,810992
jxl,90,img041,1545500,0.6472,0.790,0.041,848372
webp,60,img042,2177362,1.2909,2.320,0.172,86144
webp,75,img042,2616604,1.5513,2.260,0.167,86144
webp,90,img042,4797012,2.8439,2.520,0.187,123496
avif,28,img042,193631,0.1148,0.500,0.037,206996
avif,36,img042,534159,0.3167,0.580,0.043,215060
avif,44,img042,1113114,0.6599,0.680,0.050,223124
jxl,30,img042,496227,0.2942,0.570,0.042,597304
jxl,50,img042,909374,0.5391,0.690,0.051,616680
jxl,70,img042,1658357,0.9832,0.620,0.046,639916
jxl,90,img042,3508232,2.0799,0.650,0.048,661732
webp,60,img043,203434,0.1094,1.550,0.104,79872
webp,75,img043,253632,0.1364,1.580,0.106,79872
webp,90,img043,781846,0.4206,1.840,0.124,79872
avif,28,img043,43810,0.0236,0.450,0.030,212728
avif,36,img043,59828,0.0322,0.480,0.032,217720
avif,44,img043,82823,0.0446,0.490,0.033,225788
jxl,30,img043,146385,0.0787,0.570,0.038,624132
jxl,50,img043,179577,0.0966,0.570,0.038,624644
jxl,70,img043,252680,0.1359,0.570,0.038,625960
jxl,90,img043,779561,0.4194,0.600,0.040,642476
webp,60,img044,253300,0.1131,1.520,0.085,86656
webp,75,img044,295562,0.1320,1.450,0.081,86784
webp,90,img044,533512,0.2382,1.510,0.084,86656
