encoder,quality,img_id,psnr_y,ssim_y,bpp
webp,60,img001,38.6361,0.958375,0.553095
webp,75,img001,39.7623,0.964624,0.683811
webp,90,img001,44.6840,0.983208,1.474733
webp,60,img002,38.8840,0.970426,0.585946
webp,75,img002,39.9552,0.974981,0.784001
webp,90,img002,45.6820,0.989273,1.680735
webp,60,img003,38.3112,0.935613,0.391274
webp,75,img003,39.2204,0.947206,0.493470
webp,90,img003,44.2875,0.982114,1.172764
webp,60,img004,35.2670,0.945772,0.879973
webp,75,img004,36.8273,0.959675,1.130346
webp,90,img004,44.2955,0.991260,2.365546
webp,60,img005,35.6220,0.920092,0.634594
webp,75,img005,36.7407,0.936108,0.810995
webp,90,img005,42.4434,0.978530,1.795247
webp,60,img006,38.4203,0.960377,0.542754
webp,75,img006,39.6007,0.966920,0.658078
webp,90,img006,44.5562,0.984179,1.375682
webp,60,img007,33.8879,0.964936,1.899564
webp,75,img007,35.5972,0.976609,2.280635
webp,90,img007,41.3396,0.993671,3.773308
webp,60,img008,36.4156,0.888024,0.324515
webp,75,img008,37.2489,0.904866,0.468116
webp,90,img008,41.2833,0.957667,1.255216
webp,60,img009,38.8219,0.969722,0.531072
webp,75,img009,40.1651,0.975173,0.645728
webp,90,img009,45.6706,0.988944,1.316372
webp,60,img010,45.4558,0.976024,0.081949
webp,75,img010,45.7803,0.976744,0.101254
webp,90,img010,47.7152,0.982798,0.360183
webp,60,img011,38.5168,0.956030,0.480066
webp,75,img011,39.6894,0.964685,0.603074
webp,90,img011,44.9748,0.985173,1.295617
webp,60,img012,40.8437,0.942358,0.301723
webp,75,img012,41.7463,0.952553,0.404780
webp,90,img012,46.7692,0.984135,0.990017
webp,60,img013,36.6104,0.939497,0.835802
webp,75,img013,37.7450,0.948244,1.010852
webp,90,img013,43.5893,0.983505,2.136352
webp,60,img014,30.8731,0.916794,1.843502
webp,75,img014,32.4012,0.932866,2.162279
webp,90,img014,39.1463,0.984226,3.510004
webp,60,img015,40.8392,0.957445,0.390061
webp,75,img015,42.1814,0.968790,0.542103
webp,90,img015,47.5468,0.990512,1.309551
webp,60,img016,40.7070,0.955351,0.347313
webp,75,img016,41.7994,0.963873,0.441349
webp,90,img016,46.4083,0.983920,1.046578
webp,60,img017,39.3833,0.953066,0.284754
webp,75,img017,40.5273,0.961550,0.372737
webp,90,img017,45.5404,0.984102,0.913132
webp,60,img018,34.2427,0.906546,0.767003
webp,75,img018,35.6032,0.927390,0.976205
webp,90,img018,41.8053,0.980086,2.044911
webp,60,img019,33.7725,0.945956,1.630952
webp,75,img019,35.5139,0.963084,1.920787
webp,90,img019,42.4286,0.990740,3.176982
webp,60,img020,32.6020,0.955683,1.808468
webp,75,img020,34.3602,0.974018,2.109788
webp,90,img020,40.4224,0.993322,3.375830
webp,60,img021,39.5866,0.956654,0.286098
webp,75,img021,40.6422,0.962546,0.369689
webp,90,img021,45.5984,0.983444,1.074207
webp,60,img022,44.6318,0.976156,0.074613
webp,75,img022,45.2642,0.978590,0.097555
webp,90,img022,48.8444,0.989018,0.312339
webp,60,img023,32.7816,0.844143,0.613281
webp,75,img023,34.0799,0.882550,0.838608
webp,90,img023,40.1519,0.962336,1.830688
webp,60,img024,40.6868,0.937838,0.206053
webp,75,img024,41.1604,0.942350,0.259916
webp,90,img024,44.7066,0.972588,0.781012
webp,60,img025,39.3558,0.974033,0.431480
webp,75,img025,40.6178,0.977839,0.515248
webp,90,img025,45.5304,0.987707,1.021917
webp,60,img026,43.0002,0.982181,0.391913
webp,75,img026,44.3669,0.986673,0.491344
webp,90,img026,50.7614,0.996444,0.999464
webp,60,img027,43.7943,0.964412,0.206076
webp,75,img027,44.2970,0.967732,0.291132
webp,90,img027,47.0451,0.980667,0.889825
webp,60,img028,40.0507,0.924120,0.148250
webp,75,img028,40.7097,0.934648,0.229079
webp,90,img028,44.3222,0.970886,0.768699
webp,60,img029,38.3493,0.921183,0.252525
webp,75,img029,39.1361,0.930831,0.343806
webp,90,img029,42.7408,0.963821,0.967605
webp,60,img030,35.0156,0.943134,0.766171
webp,75,img030,36.3684,0.954339,0.913513
webp,90,img030,42.0425,0.979111,1.670965
webp,60,img031,41.6142,0.974156,0.131534
webp,75,img031,42.3811,0.976908,0.158311
webp,90,img031,45.4942,0.985337,0.358914
webp,60,img032,45.0531,0.977384,0.077086
webp,75,img032,45.4098,0.978453,0.094066
webp,90,img032,47.3211,0.983903,0.281484
webp,60,img033,39.6170,0.912953,0.151730
webp,75,img033,40.2288,0.924539,0.240069
webp,90,img033,44.2090,0.969641,0.924043
webp,60,img034,38.2658,0.917420,0.861868
webp,75,img034,39.8118,0.942870,1.164397
webp,90,img034,46.8246,0.987374,2.446676
webp,60,img035,43.8580,0.984813,0.265362
webp,75,img035,45.0242,0.987244,0.323503
webp,90,img035,49.6024,0.993010,0.697501
webp,60,img036,42.8425,0.969762,0.105174
webp,75,img036,43.4436,0.972632,0.133933
webp,90,img036,46.2974,0.982829,0.361581
webp,60,img037,43.7027,0.966623,0.096159
webp,75,img037,44.1857,0.968795,0.122862
webp,90,img037,47.1194,0.981443,0.466072
webp,60,img038,40.8479,0.954566,0.087348
webp,75,img038,41.5582,0.959603,0.108932
webp,90,img038,44.4579,0.976995,0.263990
webp,60,img039,43.7963,0.973338,0.135667
webp,75,img039,44.4907,0.976409,0.168490
webp,90,img039,47.4498,0.986204,0.428103
webp,60,img040,32.5978,0.892188,1.349197
webp,75,img040,34.4229,0.929081,1.665253
webp,90,img040,41.9751,0.986786,2.942741
webp,60,img041,39.3434,0.923509,0.136466
webp,75,img041,40.0272,0.931616,0.186840
webp,90,img041,43.6713,0.967094,0.719341
webp,60,img042,33.9239,0.915274,1.290862
webp,75,img042,35.6924,0.944044,1.551270
webp,90,img042,43.2790,0.989510,2.843938
webp,60,img043,42.7250,0.965879,0.109438
webp,75,img043,43.2725,0.968291,0.136442
webp,90,img043,45.4721,0.977821,0.420597
webp,60,img044,49.4946,0.997422,0.113106
webp,75,img044,50.9366,0.997960,0.131977
webp,90,img044,56.8378,0.999168,0.238229
webp,60,img045,45.3747,0.974409,0.064810
webp,75,img045,45.7345,0.975760,0.084520
webp,90,img045,48.2756,0.984963,0.392847
webp,60,img046,33.2558,0.797495,0.286302
webp,75,img046,34.3306,0.846280,0.402185
webp,90,img046,39.7024,0.961601,1.135370
webp,60,img047,44.0344,0.977029,0.216009
webp,75,img047,44.9757,0.980228,0.270418
webp,90,img047,48.7832,0.989781,0.684683
webp,60,img048,47.8956,0.986923,0.060165
webp,75,img048,48.7875,0.989065,0.077644
webp,90,img048,53.6255,0.996052,0.208895
webp,60,img049,41.9834,0.957561,0.348034
webp,75,img049,43.2110,0.967926,0.516922
webp,90,img049,49.2396,0.990398,1.428942
webp,60,img050,35.8454,0.935001,0.769058
webp,75,img050,37.1610,0.953623,1.024231
webp,90,img050,43.4953,0.988426,2.124868
webp,60,img051,34.1953,0.905730,0.667513
webp,75,img051,35.1971,0.927684,0.898967
webp,90,img051,41.1785,0.982131,2.052422
webp,60,img052,41.7073,0.975024,0.201829
webp,75,img052,42.7612,0.976841,0.244338
webp,90,img052,47.0756,0.985926,0.652950
webp,60,img053,32.4075,0.980819,1.500433
webp,75,img053,33.8545,0.986047,1.781516
webp,90,img053,40.0984,0.996269,3.133491
webp,60,img054,40.2962,0.977480,0.208137
webp,75,img054,41.4636,0.981829,0.260357
webp,90,img054,46.2485,0.992294,0.525682
webp,60,img055,37.3948,0.894365,0.228843
webp,75,img055,38.5954,0.919903,0.320553
webp,90,img055,44.5806,0.980579,0.818561
webp,60,img056,37.7328,0.952855,0.162600
webp,75,img056,38.7218,0.961217,0.207141
webp,90,img056,43.1322,0.986072,0.468124
webp,60,img057,35.1142,0.858865,0.381536
webp,75,img057,35.9734,0.877055,0.506555
webp,90,img057,40.0519,0.944187,1.284824
webp,60,img058,39.9230,0.965508,0.200511
webp,75,img058,40.9411,0.968900,0.256612
webp,90,img058,45.1154,0.981177,0.652839
webp,60,img059,38.9138,0.919397,0.145886
webp,75,img059,39.5886,0.928679,0.198208
webp,90,img059,43.0931,0.967350,0.629054
webp,60,img060,35.3913,0.911573,0.302822
webp,75,img060,36.3307,0.918811,0.367941
webp,90,img060,40.6064,0.956901,0.891698
webp,60,img061,37.0742,0.936330,0.192549
webp,75,img061,38.0896,0.948146,0.242513
webp,90,img061,42.8509,0.980094,0.560635
webp,60,img062,39.7015,0.947890,0.108185
webp,75,img062,40.2813,0.950742,0.140028
webp,90,img062,42.9915,0.967153,0.399234
webp,60,img063,38.4646,0.935446,0.108315
webp,75,img063,39.2154,0.941414,0.143035
webp,90,img063,43.1390,0.972288,0.444278
webp,60,img064,37.7471,0.946006,0.220958
webp,75,img064,38.6790,0.951432,0.271209
webp,90,img064,42.6567,0.972343,0.621517
webp,60,img065,39.6649,0.959022,0.234974
webp,75,img065,40.6962,0.962618,0.288077
webp,90,img065,44.4410,0.977297,0.704941
webp,60,img066,34.4546,0.914859,0.857937
webp,75,img066,35.7669,0.934323,1.073003
webp,90,img066,42.7705,0.986133,2.167463
webp,60,img067,38.6040,0.952612,0.293886
webp,75,img067,39.5107,0.959481,0.378661
webp,90,img067,44.2821,0.983103,0.948092
webp,60,img068,36.3821,0.962866,0.148400
webp,75,img068,37.5974,0.969547,0.180689
webp,90,img068,43.3198,0.988151,0.370605
webp,60,img069,36.6058,0.966979,0.769341
webp,75,img069,37.9859,0.972618,0.912256
webp,90,img069,43.8860,0.986787,1.730555
webp,60,img070,40.2419,0.973521,0.332684
webp,75,img070,41.2526,0.975106,0.396370
webp,90,img070,45.5124,0.985979,0.992947
webp,60,img071,42.8462,0.986416,0.116524
webp,75,img071,43.9333,0.987823,0.143918
webp,90,img071,49.2361,0.993644,0.339384
webp,60,img072,39.1901,0.946535,0.282878
webp,75,img072,40.1344,0.956100,0.357475
webp,90,img072,44.5020,0.980334,0.743563
webp,60,img073,33.7559,0.864884,0.605960
webp,75,img073,35.0336,0.901271,0.809548
webp,90,img073,41.4624,0.978241,1.849627
webp,60,img074,38.2530,0.911113,0.184969
webp,75,img074,38.9993,0.920314,0.264175
webp,90,img074,43.4340,0.965863,0.920173
webp,60,img075,42.6139,0.982371,0.113519
webp,75,img075,43.5578,0.983729,0.135876
webp,90,img075,46.9207,0.988070,0.314791
webp,60,img076,31.5602,0.876058,1.021407
webp,75,img076,33.1203,0.915568,1.292488
webp,90,img076,39.9873,0.981921,2.528907
webp,60,img077,35.7724,0.919963,0.328442
webp,75,img077,36.7845,0.927357,0.398466
webp,90,img077,41.1114,0.956397,0.892102
webp,60,img078,33.2369,0.964719,1.749673
webp,75,img078,34.8884,0.975747,2.089264
webp,90,img078,41.8165,0.994631,3.714407
webp,60,img079,30.8560,0.965869,2.071036
webp,75,img079,32.6368,0.977048,2.456176
webp,90,img079,39.5424,0.994940,4.124358
webp,60,img080,33.5344,0.964394,1.772065
webp,75,img080,35.3201,0.976310,2.149652
webp,90,img080,42.0519,0.994501,3.764271
webp,60,img081,34.9018,0.951500,0.404082
webp,75,img081,36.1124,0.956991,0.480763
webp,90,img081,41.2526,0.972915,0.958218
webp,60,img082,36.9869,0.906619,0.171688
webp,75,img082,37.6386,0.910370,0.209048
webp,90,img082,40.7910,0.942345,0.563730
webp,60,img083,39.4524,0.946863,0.149853
webp,75,img083,40.0386,0.949286,0.176649
webp,90,img083,42.4526,0.962770,0.413866
webp,60,img084,37.0063,0.901818,0.253352
webp,75,img084,37.7693,0.911653,0.317047
webp,90,img084,41.1017,0.952519,0.767761
webp,60,img085,35.2895,0.928164,0.442041
webp,75,img085,35.6714,0.937273,0.619390
webp,90,img085,40.1204,0.970636,1.297565
webp,60,img086,39.0121,0.929456,0.089241
webp,75,img086,39.5559,0.933280,0.111314
webp,90,img086,42.0459,0.953672,0.358844
webp,60,img087,35.2034,0.948500,0.582609
webp,75,img087,36.1855,0.957350,0.703618
webp,90,img087,39.8536,0.979714,1.429376
webp,60,img088,41.2335,0.971481,0.167638
webp,75,img088,42.2498,0.976816,0.210585
webp,90,img088,46.0441,0.989116,0.474688
webp,60,img089,38.7672,0.953057,0.235904
webp,75,img089,39.6626,0.959405,0.284271
webp,90,img089,42.7822,0.977395,0.740576
webp,60,img090,36.1143,0.959550,0.646861
webp,75,img090,37.7754,0.971472,0.837095
webp,90,img090,44.6350,0.992204,1.874436
webp,60,img091,34.5620,0.868576,0.399745
webp,75,img091,35.3595,0.884949,0.505420
webp,60,img092,35.5177,0.923031,0.281516
webp,75,img092,36.5092,0.935390,0.358540
webp,90,img092,41.3077,0.970133,0.832944
webp,90,img091,39.4434,0.946548,1.227951
webp,60,img093,36.0419,0.903090,0.303363
webp,75,img093,36.9943,0.918402,0.396603
webp,90,img093,41.7276,0.967627,0.988308
webp,60,img094,31.3244,0.901865,1.108337
webp,75,img094,32.7269,0.921580,1.341172
webp,90,img094,38.9259,0.972920,2.413796
webp,60,img095,37.6002,0.906205,0.154017
webp,75,img095,38.2589,0.914568,0.193792
webp,90,img095,41.1148,0.945811,0.550777
webp,60,img096,36.7093,0.936542,0.359188
webp,75,img096,37.7481,0.944040,0.454885
webp,90,img096,42.2439,0.970616,1.044289
webp,60,img097,32.5640,0.894633,0.888947
webp,75,img097,33.9404,0.921358,1.105426
webp,90,img097,40.2760,0.977887,2.241089
webp,60,img098,36.7775,0.888751,0.185122
webp,75,img098,37.6363,0.905211,0.244150
webp,90,img098,41.1810,0.952671,0.733100
webp,60,img099,32.6272,0.876014,0.686725
webp,75,img099,33.8069,0.902035,0.857279
webp,90,img099,39.7801,0.971887,1.866588
webp,60,img100,36.9304,0.832719,0.055000
webp,75,img100,37.1162,0.840174,0.097779
webp,90,img100,40.9375,0.938002,0.762719
avif,28,img001,34.8001,0.920822,0.266586
avif,36,img001,37.4724,0.944512,0.587913
avif,44,img001,39.5272,0.958624,0.901951
avif,28,img002,33.4301,0.933997,0.134339
avif,36,img002,35.2724,0.950362,0.205608
avif,44,img002,37.2974,0.962324,0.307152
avif,28,img003,34.6543,0.877718,0.074061
avif,36,img003,36.0124,0.898686,0.167016
avif,44,img003,37.9070,0.923285,0.405302
avif,28,img004,28.3485,0.817742,0.174785
avif,36,img004,30.7624,0.865318,0.312637
avif,44,img004,33.5336,0.914399,0.523127
avif,28,img005,31.3515,0.825264,0.133044
avif,36,img005,32.8808,0.865561,0.212202
avif,44,img005,34.4645,0.896559,0.326487
avif,28,img006,33.7222,0.913206,0.152058
avif,36,img006,35.5079,0.936406,0.224811
avif,44,img006,37.3211,0.952711,0.320600
avif,28,img007,27.8730,0.860820,0.604164
avif,36,img007,29.9966,0.906395,0.899918
avif,44,img007,32.4907,0.941652,1.307953
avif,28,img008,33.7860,0.845746,0.045455
avif,36,img008,34.5821,0.854068,0.065444
avif,44,img008,35.3456,0.862922,0.100066
avif,28,img009,33.4470,0.924300,0.140624
avif,36,img009,35.1980,0.943976,0.209599
avif,44,img009,37.1315,0.958859,0.305994
avif,28,img010,43.2814,0.971782,0.017297
avif,36,img010,44.1791,0.973670,0.023887
avif,44,img010,44.9032,0.975098,0.033298
avif,28,img011,33.3096,0.900447,0.113533
avif,36,img011,34.9709,0.923328,0.170993
avif,44,img011,36.7564,0.942181,0.256045
avif,28,img012,37.9021,0.908221,0.054992
avif,36,img012,38.8947,0.920417,0.086390
avif,44,img012,39.8484,0.931446,0.137119
avif,28,img013,31.5853,0.882698,0.223103
avif,36,img013,33.1986,0.902370,0.324583
avif,44,img013,35.0312,0.919302,0.475174
avif,28,img014,24.9960,0.768218,0.657256
avif,36,img014,27.2724,0.811752,0.982971
avif,44,img014,29.7820,0.855089,1.371824
avif,28,img015,36.9896,0.904351,0.027358
avif,36,img015,37.8262,0.916741,0.056808
avif,44,img015,39.3451,0.938387,0.139444
avif,28,img016,36.5825,0.903608,0.072532
avif,36,img016,38.0969,0.928156,0.124380
avif,44,img016,39.7661,0.948005,0.200621
avif,28,img017,35.6158,0.917061,0.088885
avif,36,img017,37.2668,0.930244,0.152878
avif,44,img017,38.8255,0.943472,0.238112
avif,28,img018,29.6993,0.798322,0.165856
avif,36,img018,31.2068,0.839964,0.259935
avif,44,img018,32.8633,0.877506,0.407845
avif,28,img019,27.3417,0.769264,0.398772
avif,36,img019,29.7157,0.843062,0.728368
avif,44,img019,32.1052,0.892354,1.114221
avif,28,img020,27.2279,0.831073,0.529768
avif,36,img020,30.0737,0.900252,0.827574
avif,44,img020,32.9438,0.943589,1.139472
avif,28,img021,35.3066,0.925556,0.069011
avif,36,img021,36.7425,0.939047,0.102596
avif,44,img021,38.1761,0.949481,0.150268
avif,28,img022,41.8955,0.967514,0.012345
avif,36,img022,42.7617,0.969558,0.017459
avif,44,img022,43.6186,0.971920,0.027911
avif,28,img023,30.0037,0.640420,0.032205
avif,36,img023,30.1427,0.649304,0.055551
avif,44,img023,30.8849,0.717349,0.167914
avif,28,img024,38.2913,0.920306,0.044085
avif,36,img024,39.1088,0.925703,0.064045
avif,44,img024,39.8050,0.930226,0.091684
avif,28,img025,34.3621,0.943658,0.225900
avif,36,img025,36.8935,0.960269,0.363821
avif,44,img025,39.0303,0.971058,0.518920
avif,28,img026,37.8693,0.951085,0.091100
avif,36,img026,39.4817,0.963815,0.133312
avif,44,img026,41.6487,0.976310,0.208514
avif,28,img027,41.8244,0.952538,0.017558
avif,36,img027,42.3686,0.955272,0.028273
avif,44,img027,43.0050,0.959158,0.054710
avif,28,img028,38.5455,0.906847,0.016768
avif,36,img028,39.0190,0.910191,0.024755
avif,44,img028,39.4333,0.913649,0.038808
avif,28,img029,35.1899,0.885853,0.044238
avif,36,img029,36.2240,0.897715,0.068953
avif,44,img029,37.3372,0.911174,0.108076
avif,28,img030,31.5753,0.885096,0.539481
avif,36,img030,33.4531,0.912905,0.726785
avif,44,img030,35.0180,0.934310,0.906936
avif,28,img031,38.0652,0.958060,0.031462
avif,36,img031,39.6491,0.965635,0.053479
avif,44,img031,41.1822,0.972207,0.095140
avif,28,img032,42.9066,0.972714,0.015896
avif,36,img032,43.8321,0.974899,0.021948
avif,44,img032,44.4886,0.976726,0.030617
avif,28,img033,38.4380,0.896228,0.017867
avif,36,img033,38.7518,0.898578,0.025412
avif,44,img033,39.0136,0.900986,0.037298
avif,28,img034,34.5903,0.782669,0.021418
avif,36,img034,35.0163,0.802642,0.059507
avif,44,img034,36.2582,0.859563,0.285203
avif,28,img035,38.5343,0.960301,0.085622
avif,36,img035,40.8250,0.972305,0.156649
avif,44,img035,43.1276,0.980660,0.248183
avif,28,img036,39.5736,0.955673,0.026246
avif,36,img036,40.8067,0.960948,0.042618
avif,44,img036,42.0639,0.966080,0.073014
avif,28,img037,41.4430,0.956019,0.016947
avif,36,img037,42.3014,0.960389,0.024930
avif,44,img037,43.1209,0.964500,0.036669
avif,28,img038,37.5714,0.933619,0.017622
avif,36,img038,38.6614,0.939453,0.024907
avif,44,img038,39.7589,0.946656,0.036860
avif,28,img039,40.8649,0.959150,0.028785
avif,36,img039,42.0476,0.965636,0.042692
avif,44,img039,43.2430,0.971154,0.063278
avif,28,img040,27.3320,0.427459,0.026364
avif,36,img040,27.7926,0.523340,0.140368
avif,44,img040,29.9695,0.779752,0.639702
avif,28,img041,36.9752,0.897152,0.023843
avif,36,img041,37.8992,0.909776,0.038153
avif,44,img041,38.9187,0.921922,0.059775
avif,28,img042,28.4957,0.599539,0.114795
avif,36,img042,29.9052,0.730898,0.316679
avif,44,img042,32.1351,0.856207,0.659916
avif,28,img043,39.6765,0.954226,0.023568
avif,36,img043,40.8415,0.958788,0.032185
avif,44,img043,41.9512,0.962885,0.044555
avif,28,img044,43.8217,0.990628,0.045183
avif,36,img044,46.5136,0.994173,0.071227
avif,44,img044,49.0860,0.996578,0.103328
avif,28,img045,43.7635,0.970808,0.012483
avif,36,img045,44.3773,0.971979,0.016092
avif,44,img045,44.9021,0.973160,0.021776
avif,28,img046,30.4224,0.620800,0.018529
avif,36,img046,30.7985,0.645743,0.038068
avif,44,img046,31.8504,0.733758,0.098230
avif,28,img047,40.0474,0.959069,0.050132
avif,36,img047,41.6084,0.968320,0.072890
avif,44,img047,43.1158,0.975257,0.103551
avif,28,img048,44.6821,0.978868,0.009869
avif,36,img048,45.8233,0.981658,0.014965
avif,44,img048,47.0495,0.984441,0.023306
avif,28,img049,39.4495,0.923035,0.015172
avif,36,img049,39.7341,0.926397,0.024323
avif,44,img049,40.5462,0.938952,0.070060
avif,28,img050,31.0074,0.786544,0.086140
avif,36,img050,32.6717,0.863359,0.200613
avif,44,img050,34.4796,0.912126,0.370438
avif,28,img051,30.2934,0.833151,0.118581
avif,36,img051,31.3827,0.842874,0.158209
avif,44,img051,32.3717,0.857450,0.235586
avif,28,img052,35.6496,0.954630,0.059096
avif,36,img052,37.4108,0.962171,0.079785
avif,44,img052,39.2688,0.968409,0.106110
avif,28,img053,27.2277,0.933364,0.437455
avif,36,img053,29.1980,0.955672,0.642555
avif,44,img053,31.3656,0.972081,0.921887
avif,28,img054,35.7131,0.951767,0.068585
avif,36,img054,37.5289,0.962714,0.115420
avif,44,img054,39.5373,0.971936,0.193202
avif,28,img055,34.1324,0.826748,0.022414
avif,36,img055,34.7204,0.831014,0.032023
avif,44,img055,35.5449,0.848670,0.066379
avif,28,img056,33.3192,0.915671,0.042541
avif,36,img056,34.8401,0.926771,0.067203
avif,44,img056,36.5154,0.938543,0.129489
avif,28,img057,30.5744,0.775189,0.076055
avif,36,img057,31.9449,0.795863,0.102324
avif,44,img057,33.2754,0.816654,0.149939
avif,28,img058,34.9952,0.939568,0.046284
avif,36,img058,36.3871,0.948047,0.062629
avif,44,img058,37.8148,0.954958,0.089899
avif,28,img059,36.7579,0.901477,0.030731
avif,36,img059,37.4231,0.904540,0.038075
avif,44,img059,37.9563,0.907120,0.050681
avif,28,img060,30.3246,0.845117,0.088149
avif,36,img060,31.9110,0.870208,0.116612
avif,44,img060,33.4641,0.889524,0.156897
avif,28,img061,32.5241,0.868437,0.041824
avif,36,img061,33.8154,0.887919,0.080464
avif,44,img061,35.4528,0.913394,0.160212
avif,28,img062,36.1349,0.929515,0.029348
avif,36,img062,37.4299,0.936714,0.037880
avif,44,img062,38.5988,0.942054,0.051593
avif,28,img063,34.6408,0.897868,0.024086
avif,36,img063,35.8985,0.909733,0.036997
avif,44,img063,37.2293,0.921303,0.061144
avif,28,img064,33.0412,0.908255,0.081280
avif,36,img064,34.8900,0.924514,0.128465
avif,44,img064,36.8245,0.937738,0.213897
avif,28,img065,34.7225,0.925980,0.066565
avif,36,img065,36.3059,0.938261,0.085488
